WARNING 2025-11-23 23:36:31,420 log 23866 123145587122176 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-23 23:36:31,421 basehttp 23866 123145587122176 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
INFO 2025-11-23 23:36:35,580 basehttp 23866 123145587122176 "GET /purchases/invoices/ HTTP/1.1" 200 105805
WARNING 2025-11-23 23:36:35,644 log 23866 123145587122176 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-23 23:36:35,644 basehttp 23866 123145587122176 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
INFO 2025-11-23 23:36:36,259 basehttp 23866 123145587122176 "GET /purchases/ajax/invoices/datatable/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=supplier&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=invoice_type&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=warehouse&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=total_amount&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=is_posted&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=actions&columns%5B7%5D%5Bsearchable%5D=false&columns%5B7%5D%5Borderable%5D=false&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&start=0&length=50&search%5Bvalue%5D=&search%5Bregex%5D=false&invoice_type=&posted=&supplier=&warehouse=&search_filter=&_=1763930195684 HTTP/1.1" 200 64
INFO 2025-11-23 23:36:39,181 basehttp 23866 123145587122176 "GET /purchases/invoices/ HTTP/1.1" 200 105805
WARNING 2025-11-23 23:36:39,245 log 23866 123145587122176 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-23 23:36:39,248 basehttp 23866 123145587122176 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
INFO 2025-11-23 23:36:39,248 basehttp 23866 123145587122176 - Broken pipe from ('127.0.0.1', 60762)
INFO 2025-11-23 23:36:39,252 basehttp 23866 123145603911680 "GET /static/css/main.css HTTP/1.1" 200 13997
INFO 2025-11-23 23:36:39,252 basehttp 23866 123145620701184 "GET /static/css/mobile.css HTTP/1.1" 200 14380
INFO 2025-11-23 23:36:39,254 basehttp 23866 123145671069696 "GET /static/js/ajax-utils.js HTTP/1.1" 200 15241
INFO 2025-11-23 23:36:39,255 basehttp 23866 123145637490688 "GET /static/js/main.js HTTP/1.1" 200 14230
INFO 2025-11-23 23:36:39,256 basehttp 23866 123145654280192 "GET /static/accounting/js/accounting.js HTTP/1.1" 200 22804
INFO 2025-11-23 23:36:39,257 basehttp 23866 123145687859200 "GET /static/js/mobile.js HTTP/1.1" 200 17520
INFO 2025-11-23 23:36:39,920 basehttp 23866 123145687859200 "GET /purchases/ajax/invoices/datatable/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=supplier&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=invoice_type&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=warehouse&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=total_amount&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=is_posted&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=actions&columns%5B7%5D%5Bsearchable%5D=false&columns%5B7%5D%5Borderable%5D=false&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&start=0&length=50&search%5Bvalue%5D=&search%5Bregex%5D=false&invoice_type=&posted=&supplier=&warehouse=&search_filter=&_=1763930199700 HTTP/1.1" 200 64
WARNING 2025-11-23 23:36:40,584 log 23866 123145687859200 Not Found: /favicon.ico
WARNING 2025-11-23 23:36:40,584 basehttp 23866 123145687859200 "GET /favicon.ico HTTP/1.1" 404 52776
INFO 2025-11-23 23:36:44,490 basehttp 23866 123145687859200 "GET /purchases/invoices/create/ HTTP/1.1" 200 346255
WARNING 2025-11-23 23:36:44,561 log 23866 123145687859200 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-23 23:36:44,561 basehttp 23866 123145687859200 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
INFO 2025-11-23 23:36:50,283 basehttp 23866 123145687859200 "GET /purchases/invoices/create/ HTTP/1.1" 200 346255
INFO 2025-11-23 23:36:50,327 basehttp 23866 123145671069696 "GET /static/css/mobile.css HTTP/1.1" 200 14380
INFO 2025-11-23 23:36:50,335 basehttp 23866 123145637490688 "GET /static/js/main.js HTTP/1.1" 200 14230
INFO 2025-11-23 23:36:50,336 basehttp 23866 123145654280192 "GET /static/css/main.css HTTP/1.1" 200 13997
INFO 2025-11-23 23:36:50,344 basehttp 23866 123145603911680 "GET /static/js/ajax-utils.js HTTP/1.1" 200 15241
WARNING 2025-11-23 23:36:50,354 log 23866 123145687859200 Not Found: /.well-known/appspecific/com.chrome.devtools.json
